,id,trialnb,blocknb,prepost,stim,response,rt,acc,correctResp
100,102,0,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/005tt.jpg,toilet,3013.0,1,"['wc', ' toilet', 'wcbril', 'wc-bril', 'WC']"
101,102,1,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,arend,2964.0,0,"['kat', ' poes', ' pussy', ' pussycat', ' cat']"
102,102,2,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,sprinkhaan,6263.0,0,"['slang', ' slangenkop', ' snake']"
103,102,3,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,slang,8762.0,0,"['eend', ' duck', ' eenden', ' fazant', ' bird', 'vogel', ' zwaan']"
104,102,4,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,parking,6158.0,0,"['horloge', ' uurwerk', ' klok', ' watch', ' clock', ' time']"
105,102,5,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,roos,2582.0,1,"['roos', 'roosje', ' bloem', 'blaadje']"
106,102,6,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,appelsien,2874.0,1,"['sinaasappel', ' appelsien', ' citrus', ' citrusvrucht', ' ctitroenachtige', ' oranjeappel']"
107,102,7,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,zaag,1928.0,0,"['broodrooster', ' toaster']"
108,102,8,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,tang,3797.0,1,"['tang', ' pliers', ' nijp', ' nijptang', ' trektang', ' striptang', ' stripping', ' gereedschap']"
109,102,9,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,2083.0,1,"['piano', ' vleugelpiano']"
110,102,0,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,poes,1861.0,1,"['kat', ' poes', ' pussy', ' pussycat', ' cat']"
111,102,1,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,roos,1493.0,1,"['roos', 'roosje', ' bloem', 'blaadje']"
112,102,2,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,eend,3957.0,1,"['eend', ' duck', ' eenden', ' fazant', ' bird', 'vogel', ' zwaan']"
113,102,3,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,zaag,6979.0,0,"['broodrooster', ' toaster']"
114,102,4,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,1642.0,1,"['piano', ' vleugelpiano']"
115,102,5,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,appelsien,2111.0,1,"['sinaasappel', ' appelsien', ' citrus', ' citrusvrucht', ' ctitroenachtige', ' oranjeappel']"
116,102,6,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,horloge,3107.0,1,"['horloge', ' uurwerk', ' klok', ' watch', ' clock', ' time']"
117,102,7,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,slang,15184.0,1,"['slang', ' slangenkop', ' snake']"
118,102,8,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,tang,1541.0,1,"['tang', ' pliers', ' nijp', ' nijptang', ' trektang', ' striptang', ' stripping', ' gereedschap']"
