id,trialnb,blocknb,prepost,stim,response,rt
102,0,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,trein,2685
102,1,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,uil,2195
102,2,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,uil,2033
102,3,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,konijn,2237
102,4,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/039tt.jpg,vlinder,3904
102,5,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,koe,4222
102,6,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,koala,1950
102,7,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,slang,2117
102,8,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,platenspeler,7126
102,9,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,egel,7919
102,0,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,trein,2443
102,1,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/039tt.jpg,vlinder,2821
102,2,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,vleermuis,6067
102,3,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,koala,1977
102,4,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,citroen,3023
102,5,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,spin,2602
102,6,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,trompet,3132
102,7,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,konijn,2282
102,8,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,poes,1532
102,9,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,slang,1948
102,0,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/005tt.jpg,toilet,3013
102,1,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,arend,2964
102,2,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,sprinkhaan,6263
102,3,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,slang,8762
102,4,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,parking,6158
102,5,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,roos,2582
102,6,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,appelsien,2874
102,7,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,zaag,1928
102,8,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,tang,3797
102,9,5,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,2083
102,0,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,poes,1861
102,1,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,roos,1493
102,2,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,eend,3957
102,3,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,zaag,6979
102,4,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,1642
102,5,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,appelsien,2111
102,6,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,horloge,3107
102,7,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,slang,15184
102,8,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,tang,1541
102,9,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/005tt.jpg,toilet,2311
103,0,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,kniptang,2753
103,1,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,dier,2212
103,2,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/691tt.jpg,bos,863
103,3,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/533tt.jpg,boom,2984
103,4,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,appel,3060
103,5,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,vogel,2220
103,6,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,motor,3764
103,7,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/148tt.jpg,persoon,5099
103,8,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/872tt.jpg,gras,2362
103,9,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/559tt.jpg,motor,1252
103,0,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/872tt.jpg,vlinder,1338
103,1,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/691tt.jpg,insect,3680
