id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21136,Vrouw,04/1997,2,3,3,3,3,2,4,3,3,1,1,2,4,1,1,3,1,2,2,3,4,3,2,1,2,3,2,3,3,2,1,2,3,1,4,2,2,1,3,1,3,2,3,1,3,4,1,2,3,1
20602,Vrouw,06/97,1,2,1,4,4,4,4,1,4,2,2,4,4,3,1,3,1,4,4,3,3,3,4,1,2,3,3,2,3,2,3,2,3,2,3,2,3,2,4,1,4,2,1,1,4,3,1,2,2,2
20422,Vrouw,10/97,2,2,1,3,2,4,4,2,4,1,1,3,4,4,1,3,1,4,4,3,3,4,4,1,1,2,3,2,3,3,2,3,4,1,3,2,2,1,3,4,4,4,3,1,3,4,2,2,4,3
20755,Vrouw,05/97,2,2,3,2,2,3,1,3,1,3,3,4,1,4,3,1,3,1,1,1,2,1,2,3,3,1,2,2,2,2,4,2,1,3,2,3,2,3,1,4,1,2,2,3,2,2,3,2,2,3
20377,Vrouw,05/97,1,2,1,2,2,3,4,3,4,3,3,2,4,1,1,2,2,4,4,3,3,1,3,4,2,2,2,3,2,3,1,2,2,3,2,2,2,3,3,1,4,3,3,2,3,2,2,3,4,3
21385,Vrouw,09/96,1,2,2,3,3,3,4,1,4,1,1,3,4,2,1,4,1,3,4,3,3,4,4,4,4,4,3,1,2,2,2,3,4,1,3,1,1,1,4,3,4,1,3,1,3,4,1,1,2,2
20227,Vrouw,10/1990,4,3,1,1,2,2,4,1,1,2,3,2,1,1,2,2,1,3,1,3,4,2,1,3,2,2,2,2,1,2,2,2,3,1,1,1,2,2,4,3,1,3,2,2,2,2,1,2,2,2
21661,Vrouw,04/1997,3,2,1,2,3,3,3,1,1,3,4,1,1,4,3,4,1,4,4,2,1,1,4,2,3,4,3,3,4,3,1,2,4,3,2,2,3,3,2,4,3,2,4,2,3,1,2,3,4,4
20227,Vrouw,10/90,3,2,1,2,1,1,4,1,1,3,2,1,1,1,3,2,2,3,1,3,4,3,1,3,2,2,2,2,1,3,1,2,3,2,1,1,1,2,4,2,1,3,2,2,2,2,1,2,1,2
20245,Vrouw,15/05/1997,2,2,1,3,4,4,2,1,4,1,2,3,4,3,1,3,1,3,4,3,3,2,4,2,3,2,3,2,2,3,2,2,3,2,3,4,4,2,3,1,3,2,2,1,3,4,2,2,2,1
20641,Vrouw,1997,2,3,2,2,4,4,4,1,4,2,1,2,4,1,1,2,1,2,4,3,3,4,3,2,2,4,3,3,2,3,3,3,3,1,3,2,3,1,3,2,3,3,3,1,2,3,1,3,1,2
20629,Vrouw,12/1997,2,2,2,3,4,4,3,3,4,2,3,3,4,3,3,2,2,3,4,3,3,3,3,2,4,3,2,3,3,3,2,2,3,2,3,2,3,2,2,1,4,2,1,2,3,1,1,2,2,2
21193,Vrouw,04/97,2,2,2,3,2,3,3,2,3,2,2,2,4,2,2,2,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3
20887,Man,03/96,2,3,1,3,1,3,4,1,4,1,2,2,3,1,2,4,3,3,4,4,4,4,3,4,4,4,1,2,2,4,1,2,4,2,4,1,2,2,3,1,4,4,3,3,4,3,2,1,2,2
20902,Vrouw,04/1997,3,3,1,3,3,4,4,1,4,1,3,2,2,2,1,3,2,4,4,3,3,2,4,2,2,3,1,3,1,4,2,2,3,2,1,1,2,2,4,1,4,4,2,2,3,2,2,3,1,1
20362,Vrouw,10/1997,1,2,2,2,2,4,4,1,4,1,2,3,4,3,1,3,1,3,4,3,2,3,4,2,4,3,2,2,4,3,2,2,3,1,2,2,2,1,4,2,4,3,2,1,3,2,1,2,3,2
21367,Vrouw,06/97,3,2,1,2,2,2,4,1,3,1,1,1,1,1,1,2,2,3,2,4,4,4,1,2,2,4,1,3,3,3,2,2,3,1,3,2,1,1,4,2,4,3,2,2,3,4,2,2,2,1
20965,Vrouw,maart 1997,3,3,3,3,1,1,3,3,1,3,2,1,2,4,4,3,3,1,1,1,1,4,1,4,1,2,1,3,1,1,2,1,2,3,4,2,2,2,4,3,1,2,4,3,3,3,2,2,1,3
21034,Vrouw,07/94,2,1,2,4,2,2,4,2,4,3,3,3,4,3,2,3,1,4,4,3,3,3,2,2,3,3,3,3,3,4,1,2,3,2,3,2,3,1,4,2,4,2,2,1,3,2,2,3,3,3
20869,Vrouw,07/97,1,3,1,2,2,2,4,1,2,2,2,2,4,1,1,3,1,3,3,3,4,2,3,1,1,2,1,1,3,2,2,2,3,1,4,3,1,1,4,1,4,3,2,1,3,3,1,1,4,1
21079,Man,01/96,4,3,1,1,1,4,1,2,4,4,4,2,1,1,3,2,2,3,4,4,4,1,3,4,2,1,2,2,2,2,2,3,2,2,3,2,3,2,3,1,3,1,3,4,4,3,3,3,2,2
20809,Vrouw,22/12/1997,2,2,3,2,4,4,3,3,4,1,1,3,4,3,1,3,1,2,4,2,4,4,4,1,3,3,3,1,3,4,2,2,3,1,1,2,3,1,3,3,4,1,2,1,3,3,2,2,2,3
20266,Vrouw,01/1997,3,2,2,3,2,3,3,2,4,2,2,1,1,2,3,1,1,4,4,4,2,3,2,3,3,3,2,4,2,3,2,3,3,3,2,2,3,2,3,1,3,2,1,2,3,2,3,2,1,3
20947,Vrouw,07/97,2,2,2,3,2,3,3,1,3,1,1,2,3,2,1,2,1,2,4,3,2,3,3,2,1,4,1,3,3,4,2,1,3,1,3,2,1,1,2,1,4,2,2,1,2,4,1,2,4,1
20815,Vrouw,07/97,3,4,4,3,2,2,2,3,1,3,3,3,1,1,4,2,3,2,1,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,2,3,3,3,3,1,1,2,3,4,2,3,3,3,2,1
20494,Vrouw,03/97,2,3,2,3,2,2,2,2,2,1,1,3,4,4,1,3,1,3,3,3,4,3,4,1,4,3,2,1,2,3,2,2,3,1,3,3,3,2,3,2,3,2,3,1,3,4,1,2,4,2
20281,Vrouw,09/96,2,2,2,2,2,4,4,2,4,2,2,2,4,3,3,3,3,2,4,3,2,4,2,1,2,4,2,2,3,2,2,3,3,2,3,2,2,2,2,2,4,3,3,3,3,3,2,2,3,2
