,Unnamed: 0,id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,AQ,AQlikert,AQattDetail,AQsocialSkill,AQattSwitch,AQcomm,AQimagination
63,63,20746,Vrouw,05/1997,4,3,1,3,3,1,1,2,2,2,2,2,2,1,2,1,4,1,4,4,4,3,2,2,4,2,1,3,3,4,1,1,3,2,3,1,1,3,2,4,4,3,2,3,3,3,2,3,3,4,22,119,29,21,23,27,19
64,64,20935,Vrouw,01/1998,2,2,2,3,2,3,4,2,4,3,3,2,3,3,1,3,1,4,4,3,4,1,4,1,2,1,3,2,2,3,1,2,1,2,1,2,2,3,4,2,4,3,1,2,3,2,1,3,1,2,17,108,19,23,25,23,18
65,65,20458,Vrouw,07/1997,2,2,2,3,1,1,2,1,1,1,3,1,4,1,1,3,1,1,3,2,3,1,3,4,3,3,3,3,3,3,3,3,4,2,1,2,3,3,2,2,3,3,2,2,2,1,2,3,4,2,28,131,33,24,26,27,21
66,66,20548,Vrouw,05/97,2,3,2,1,4,4,4,1,4,4,2,4,4,3,1,4,1,2,4,3,4,1,4,1,3,2,3,2,1,2,3,4,3,1,3,3,2,2,3,1,4,2,3,1,3,2,2,3,2,2,15,100,13,22,26,22,17
67,67,619000,Vrouw,04/97,1,2,2,3,2,2,4,2,3,1,1,1,4,2,1,4,1,3,3,3,1,4,2,1,2,3,2,3,1,3,2,3,4,1,2,3,3,1,4,1,4,2,1,1,2,3,1,3,2,2,17,103,26,19,22,16,20
68,68,20839,Vrouw,11/97,2,1,1,1,4,4,3,2,4,2,3,3,3,4,3,3,2,3,4,3,2,2,4,2,3,2,2,2,2,3,1,2,3,3,3,2,3,3,2,4,4,3,2,3,2,1,2,3,3,4,23,121,17,27,30,22,25
69,69,20674,Vrouw,04/97,2,2,1,2,3,4,2,2,4,3,3,1,2,4,1,3,2,4,4,3,1,3,1,3,2,3,2,4,4,2,1,3,2,1,2,2,3,3,2,2,4,3,2,2,3,2,1,3,3,3,25,121,26,22,26,23,24
70,70,20569,Man,11/1995,3,2,1,4,2,4,4,1,4,2,2,2,3,1,3,4,4,4,4,3,2,3,4,2,1,3,2,3,3,3,1,3,3,3,3,1,2,3,4,2,2,4,2,3,4,2,3,2,3,2,18,102,22,21,22,19,18
71,71,21112,Vrouw,07/1996,2,3,1,2,3,3,3,1,3,1,1,3,4,1,1,3,1,3,3,3,2,4,3,2,1,4,1,2,3,3,1,2,3,1,3,1,3,1,3,1,3,2,2,1,3,4,1,3,3,1,10,89,23,15,19,15,17
72,72,20356,Vrouw,10/04/1997,2,3,2,2,1,2,3,2,4,2,2,2,4,2,2,3,1,2,4,3,3,4,2,2,3,3,2,3,3,2,3,2,3,2,3,3,2,1,2,3,3,2,2,1,2,4,1,2,4,2,18,111,27,19,22,21,22
73,73,20710,Vrouw,03/97,3,2,3,3,2,1,2,3,1,2,4,2,3,2,4,2,4,2,1,1,1,2,1,3,1,2,3,3,3,2,4,4,2,4,2,3,3,3,1,3,1,2,2,3,1,2,3,3,4,3,43,158,34,31,28,33,32
74,74,21157,Vrouw,24/12/1997,2,2,1,2,3,2,4,1,4,1,1,2,4,4,1,3,1,2,4,3,3,4,4,2,2,3,4,3,2,2,2,3,3,1,2,3,2,1,3,2,4,2,1,1,3,3,1,2,2,3,15,101,20,16,23,21,21
75,75,21391,Vrouw,oktober 1997,2,1,1,3,2,2,4,1,4,1,1,2,3,3,1,3,1,3,4,4,3,3,3,2,3,4,2,2,3,3,2,1,3,1,3,1,1,1,4,2,4,2,2,1,3,3,1,2,2,3,12,93,23,16,20,15,19
76,76,20764,Man,06/97,1,3,1,2,2,4,4,1,4,2,3,2,4,2,2,4,2,4,4,4,4,3,4,1,4,2,2,3,2,4,1,1,4,1,3,1,2,2,1,2,4,1,2,2,4,4,2,3,1,2,13,96,20,21,20,19,16
77,77,20572,Vrouw,05/1997,3,2,1,2,4,3,4,1,1,1,1,2,4,4,1,3,1,2,1,3,4,4,2,1,1,2,3,3,3,1,1,1,3,1,4,2,1,1,1,1,4,3,1,1,3,3,1,4,4,2,16,99,28,16,19,20,16
78,78,20299,Vrouw,07/97,2,1,3,2,3,3,4,3,4,2,2,2,4,4,3,3,2,4,4,3,3,3,2,1,2,3,3,4,2,4,2,3,3,3,3,2,3,2,2,4,4,2,3,2,1,3,2,3,3,4,22,122,25,24,26,20,27
79,79,21601,Vrouw,09/1996,4,4,2,1,2,2,4,3,3,2,2,2,1,2,2,2,3,3,2,3,3,4,3,3,2,3,2,4,3,2,3,2,2,2,3,2,2,3,3,1,3,2,2,3,3,3,2,3,2,2,19,117,27,22,23,23,22
80,80,20401,Vrouw,10/1996,2,2,1,3,2,4,4,1,3,1,2,3,4,4,1,2,1,3,4,3,3,2,4,2,2,4,2,1,3,4,2,1,3,2,4,1,1,2,2,3,4,2,2,1,2,2,1,3,3,1,16,98,21,19,21,17,20
81,81,20734,Vrouw,02/09/1996,2,2,2,2,1,1,1,1,1,1,1,1,4,4,2,4,2,3,2,3,2,4,2,4,1,3,3,1,2,2,3,1,1,1,2,1,1,1,3,3,1,2,3,1,2,2,1,2,1,4,23,117,28,16,17,26,30
82,82,21049,Man,08/96,2,2,2,2,3,3,3,2,4,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,2,3,3,3,24,124,25,25,27,22,25
83,83,21085,Vrouw,06/97,2,3,1,2,4,4,4,1,4,1,1,3,4,1,1,4,1,2,4,4,4,4,4,1,4,3,1,1,2,4,1,1,3,1,4,1,2,1,4,1,4,4,3,1,4,4,1,3,4,1,7,74,18,14,18,14,10
84,84,20950,Vrouw,01/1997,2,3,2,2,1,2,3,2,2,2,2,1,3,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,4,4,2,1,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,3,4,2,18,122,34,22,22,21,23
85,85,20863,Vrouw,03/97,3,4,1,3,2,1,3,1,1,2,3,1,4,2,2,3,2,3,2,4,3,3,2,2,4,3,2,3,3,3,2,2,3,2,4,2,2,2,3,1,3,3,2,2,3,2,2,3,3,2,15,112,33,21,23,19,16
86,86,20287,Man,02/91,2,2,2,2,2,2,2,2,4,3,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,26,125,24,25,25,26,25
87,87,21160,Vrouw,05/97,2,1,1,2,4,2,2,3,4,2,1,2,3,1,1,4,2,2,4,3,4,3,4,2,3,2,2,3,3,2,2,4,3,2,2,2,3,2,1,2,4,3,1,1,3,2,3,2,3,2,20,112,21,19,29,26,17
88,88,20794,Vrouw,10/1997,1,2,2,3,3,2,3,2,3,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,3,3,3,2,3,2,2,3,2,2,2,3,2,4,2,2,1,3,2,2,3,2,2,18,117,26,23,25,21,22
89,89,20428,Vrouw,12/1997,2,2,2,4,3,4,4,1,3,2,2,3,4,4,2,3,2,4,4,3,4,3,2,2,3,3,2,3,4,3,2,2,3,1,2,2,2,2,3,2,4,2,1,1,3,3,1,2,2,3,12,103,23,18,22,19,21
90,90,20425,Vrouw,09/96,2,1,2,1,4,2,4,1,4,3,4,2,1,1,3,1,3,4,4,2,4,1,3,2,4,1,4,3,1,2,4,4,1,3,2,3,4,4,3,1,4,2,1,3,1,1,3,2,1,1,31,135,18,33,38,30,16
91,91,20224,Vrouw,01-02-1997,3,2,2,4,1,1,1,1,4,2,1,2,4,1,1,4,1,3,4,3,1,4,4,1,2,4,3,2,4,4,2,3,2,1,2,2,3,1,2,4,4,3,2,1,3,3,1,4,3,4,19,109,27,16,21,23,22
